Brockton - Manthala George Jr School,Ê00040003,1.8,100
Brockton - Mary E. Baker School,Ê00040002,1.7,100
Brockton - North Middle School,Ê00040410,2.7,100
Brockton - Oscar F Raymond,Ê00040078,3.2,100
Brockton - South Middle School,Ê00040415,1.8,100
Brockton - West Middle School,Ê00040420,3.8,100
Brookfield - Brookfield Elementary,Ê00040005,3.4,100
Brookline - Brookline High,Ê00040505,2.8,100
Brookline - Edith C Baker,Ê00040005,4.7,100
Brookline - Edward Devotion,Ê00040015,4.3,100
Brookline - Heath,Ê00040025,2.4,100
Brookline - John D Runkle,Ê00040045,3.8,100
Brookline - Lawrence,Ê00040030,2.8,100
Brookline - Michael Driscoll,Ê00040020,3.4,100
Brookline - Pierce,Ê00040040,4.1,100
Brookline - The Lynch Center,Ê00040060,9.4,100
Brookline - William H Lincoln,Ê00040035,4.4,100
Burlington - Burlington High,Ê00040505,2.6,100
Burlington - Fox Hill,Ê00040007,9.4,100
Burlington - Francis Wyman Elem,Ê00040035,18.4,100
Burlington - Marshall Simonds Middle,Ê00040303,7.3,100
Burlington - Memorial,Ê00040015,5.8,100
Burlington - Pine Glen Elementary,Ê00040020,3.6,100
Cambridge - Amigos School,Ê00040006,4.9,100
Cambridge - Cambridge Rindge and Latin,Ê00040506,1.5,100
Cambridge - Cambridgeport,Ê00040007,1.8,100
Cambridge - Fletcher/Maynard Academy,Ê00040090,3,100
Cambridge - Graham and Parks,Ê00040080,3.6,100
Cambridge - Haggerty,Ê00040020,2.4,100
Cambridge - John M Tobin,Ê00040065,4,100
Cambridge - Kennedy-Longfellow,Ê00040040,2.5,100
Cambridge - King Open,Ê00040035,4,100
Cambridge - Maria L. Baldwin,Ê00040005,2.4,100
Cambridge - Martin Luther King Jr.,Ê00040030,2.4,100
Cambridge - Morse,Ê00040045,4.5,100
Cambridge - Peabody,Ê00040050,4.3,100
Canton - Canton High,Ê00050505,2.1,100
Canton - Dean S Luce,Ê00050020,7.3,100
Canton - John F Kennedy,Ê00050017,6.1,100
Canton - Lt Peter M Hansen,Ê00050012,5,100
Canton - Rodman Early Childhood Center,Ê00050010,8.7,100
Canton - Wm H Galvin Middle,Ê00050305,4,100
Cape Cod Lighthouse Charter (District) - Cape Cod Lighthouse Charter School,Ê00430530,-,-
Cape Cod Regional Vocational Technical - Cape Cod Region Voc Tech,Ê00810605,2,100
Carlisle - Carlisle School,Ê00050025,1.5,96.3
Carver - Carver Elementary School,Ê00050015,4.9,100
Carver - Carver Middle/High School,Ê00050405,2.7,100
Central Berkshire - Becket Washington School,Ê00630005,3.2,100
Central Berkshire - Berkshire Trail Elem,Ê00630010,3.1,100
Central Berkshire - Craneville,Ê00630025,4.8,100
Central Berkshire - Kittredge,Ê00630035,3,100
Central Berkshire - Nessacus Regional Middle School,Ê00630305,2.7,100
Central Berkshire - Wahconah Regional High,Ê00630505,2,100
Chatham - Chatham Elementary,Ê00050005,2.3,100
Chatham - Chatham High,Ê00050505,0.7,100
Chatham - Chatham Middle School,Ê00050305,0.9,100
Chelmsford - Byam School,Ê00050030,3.2,100
Chelmsford - Center Elementary School,Ê00050005,3.4,100
Chelmsford - Charles D Harrington,Ê00050025,3,100
Chelmsford - Chelmsford High,Ê00050505,2.4,100
Chelmsford - Col Moses Parker Schl,Ê00050305,2.2,100
Chelmsford - Community Education Center,Ê00050001,3,100
Chelmsford - McCarthy Middle School,Ê00050310,3,100
Chelmsford - South Row,Ê00050015,2.9,100
Chelsea - Chelsea High,Ê00050505,2.7,100
Chelsea - Clark Avenue School,Ê00050050,2.4,100
Chelsea - Edgar A Hooks Elem,Ê00050030,4.7,100
Chelsea - Eugene Wright School,Ê00050045,1.9,100
Chelsea - Frank M Sokolowski Elem,Ê00050040,4.4,100
Chelsea - George F. Kelly Elem,Ê00050035,6,100
Chelsea - Joseph A. Browne School,Ê00050055,2.2,100
Chelsea - Shurtleff Early Childhood,Ê00050003,7.1,100
Chelsea - William A Berkowitz Elem,Ê00050025,5.6,100
