orgCode,school,stuPerCPU,classOnInternet
40030,Brookline - Lawrence,2.8,100
,,,
40020,Brookline - Michael Driscoll,3.4,100
,,,
40040,Brookline - Pierce,4.1,100
,,,
40060,Brookline - The Lynch Center,9.4,100
,,,
40035,Brookline - William H Lincoln,4.4,100
,,,
40505,Burlington - Burlington High,2.6,100
,,,
40007,Burlington - Fox Hill,9.4,100
,,,
40035,Burlington - Francis Wyman Elem,18.4,100
,,,
40303,Burlington - Marshall Simonds Middle,7.3,100
,,,
40015,Burlington - Memorial,5.8,100
,,,
40020,Burlington - Pine Glen Elementary,3.6,100
,,,
40006,Cambridge - Amigos School,4.9,100
,,,
40506,Cambridge - Cambridge Rindge and Latin,1.5,100
,,,
40007,Cambridge - Cambridgeport,1.8,100
,,,
40090,Cambridge - Fletcher/Maynard Academy,3,100
,,,
40080,Cambridge - Graham and Parks,3.6,100
,,,
40020,Cambridge - Haggerty,2.4,100
,,,
40065,Cambridge - John M Tobin,4,100
,,,
40040,Cambridge - Kennedy-Longfellow,2.5,100
,,,
40035,Cambridge - King Open,4,100
,,,
40005,Cambridge - Maria L. Baldwin,2.4,100
,,,
40030,Cambridge - Martin Luther King Jr.,2.4,100
,,,
40045,Cambridge - Morse,4.5,100
,,,
40050,Cambridge - Peabody,4.3,100
,,,
50505,Canton - Canton High,2.1,100
,,,
50020,Canton - Dean S Luce,7.3,100
,,,
50017,Canton - John F Kennedy,6.1,100
,,,
50012,Canton - Lt Peter M Hansen,5,100
,,,
50010,Canton - Rodman Early Childhood Center,8.7,100
,,,
50305,Canton - Wm H Galvin Middle,4,100
,,,
430530,Cape Cod Lighthouse Charter (District) - Cape Cod Lighthouse Charter School,-,-
,,,
810605,Cape Cod Regional Vocational Technical - Cape Cod Region Voc Tech,2,100
,,,
50025,Carlisle - Carlisle School,1.5,96.3
,,,
50015,Carver - Carver Elementary School,4.9,100
,,,
50405,Carver - Carver Middle/High School,2.7,100
,,,
630005,Central Berkshire - Becket Washington School,3.2,100
,,,
630010,Central Berkshire - Berkshire Trail Elem,3.1,100
,,,
630025,Central Berkshire - Craneville,4.8,100
,,,
630035,Central Berkshire - Kittredge,3,100
,,,
630305,Central Berkshire - Nessacus Regional Middle School,2.7,100
,,,
630505,Central Berkshire - Wahconah Regional High,2,100
,,,
50005,Chatham - Chatham Elementary,2.3,100
,,,
50505,Chatham - Chatham High,0.7,100
,,,
50305,Chatham - Chatham Middle School,0.9,100
,,,
50030,Chelmsford - Byam School,3.2,100
,,,
50005,Chelmsford - Center Elementary School,3.4,100
,,,
50025,Chelmsford - Charles D Harrington,3,100
,,,
50505,Chelmsford - Chelmsford High,2.4,100
,,,
50305,Chelmsford - Col Moses Parker Schl,2.2,100
,,,
50001,Chelmsford - Community Education Center,3,100
,,,
50310,Chelmsford - McCarthy Middle School,3,100
,,,
50015,Chelmsford - South Row,2.9,100
,,,
50505,Chelsea - Chelsea High,2.7,100
,,,
50050,Chelsea - Clark Avenue School,2.4,100
,,,
50030,Chelsea - Edgar A Hooks Elem,4.7,100
,,,
50045,Chelsea - Eugene Wright School,1.9,100
,,,
50040,Chelsea - Frank M Sokolowski Elem,4.4,100
,,,
50035,Chelsea - George F. Kelly Elem,6,100
,,,
50055,Chelsea - Joseph A. Browne School,2.2,100
,,,
50003,Chelsea - Shurtleff Early Childhood,7.1,100
,,,
50025,Chelsea - William A Berkowitz Elem,5.6,100
,,,
630025,Chesterfield-Goshen - New Hingham Regional Elem,4,100
,,,
60003,Chicopee - Barry,5.7,100
,,,
60010,Chicopee - Belcher,4.6,100
,,,
60305,Chicopee - Bellamy Middle,4.4,100
,,,
60015,Chicopee - Bowe,3.5,100
,,,
60020,Chicopee - Bowie,2.3,100
,,,
60021,Chicopee - Chicopee Academy,2.1,100
,,,
60510,Chicopee - Chicopee Comprehensive HS,2.5,100
,,,
60505,Chicopee - Chicopee High,2,100
,,,
60310,Chicopee - Fairview Middle,4.1,100
,,,
60090,Chicopee - Gen John J Stefanik,3.8,100
,,,
60040,Chicopee - Lambert-Lavoie,3.7,100
,,,
60022,Chicopee - Litwin,3.6,100
,,,
60050,Chicopee - Selser,4.2,100
,,,
60065,Chicopee - Streiber Memorial School,4.4,100
,,,
60001,Chicopee - Szetela ECC,6.9,100
,,,
410305,Christa McAuliffe Regional Charter Public (District) - Christa McAuliffe Regional Charter Public School,-,-
,,,
430505,City On A Hill Charter Public (District) - City On A Hill Charter Public School,-,-
,,,
60010,Clarksburg - Clarksburg Elementary,2.4,100
,,,
60050,Clinton - Clinton Elementary,3.5,100
,,,
60305,Clinton - Clinton Middle School,4.8,100
,,,
60505,Clinton - Clinton Senior High,1.7,100
,,,
430505,Codman Academy Charter Public (District) - Codman Academy Charter Public School,-,-
,,,
60505,Cohasset - Cohasset Middle/High School,1.3,100
,,,
60005,Cohasset - Deer Hill,1.4,100
,,,
60010,Cohasset - Joseph Osgood,2.5,100
,,,
430305,Community Charter School of Cambridge (District) - Community Charter School of Cambridge,-,-
,,,
440205,Community Day Charter Public (District) - Community Day Charter Public School,-,-
,,,
60005,Concord - Alcott,1.4,100
,,,
60305,Concord - Concord Middle,2.5,100
,,,
60020,Concord - Thoreau,1.4,100
,,,
60030,Concord - Willard,1.8,100
,,,
640505,Concord-Carlisle - Concord Carlisle High,1.3,100
,,,
430050,Conservatory Lab Charter (District) - Conservatory Lab Charter School,-,-
,,,
60005,Conway - Conway Grammar,2.3,100
,,,
70505,Danvers - Danvers High,3,100
,,,
70015,Danvers - Great Oak,3.7,100
,,,
70010,Danvers - Highlands,3.7,100
,,,
70305,Danvers - Holten Richmond Middle School,2.6,100
,,,
70032,Danvers - Ivan G Smith,3,100
,,,
70030,Danvers - Riverside,3.2,100
,,,
70045,Danvers - Willis E Thorpe,2.9,100
,,,
70005,Dartmouth - Andrew B. Cushman School,12.4,100
,,,
70505,Dartmouth - Dartmouth High,2.5,100
,,,
70050,Dartmouth - Dartmouth Middle,4.3,100
,,,
70030,Dartmouth - George H Potter,1.8,100
,,,
70040,Dartmouth - James M. Quinn School,2.5,100
,,,
70015,Dartmouth - Joseph Demello,1.9,100
,,,
70010,Dedham - Avery,1.6,100
,,,
70505,Dedham - Dedham High,1.9,100
,,,
70305,Dedham - Dedham Middle School,1.7,100
,,,
70005,Dedham - Early Childhood Center,4.4,100
,,,
70025,Dedham - Greenlodge,2.8,100
,,,
70030,Dedham - Oakdale,2.5,100
,,,
70045,Dedham - Riverdale,2.3,100
,,,
70015,Deerfield - Deerfield Elem,3.9,100
,,,
640505,Dennis-Yarmouth - Dennis-Yarmouth Reg High,2,100
,,,
640005,Dennis-Yarmouth - Ezra H Baker,3.2,100
,,,
640020,Dennis-Yarmouth - Laurence C MacArthur Elem,3.2,100
,,,
640015,Dennis-Yarmouth - Marguerite E Small Elem,2.4,100
,,,
640305,Dennis-Yarmouth - Mattacheese Middle Sch,2.6,100
,,,
640310,Dennis-Yarmouth - N H Wixon Middle,2.1,100
,,,
640025,Dennis-Yarmouth - Station Avenue Elem,2.7,100
,,,
650005,Dighton-Rehoboth - Dighton Elementary,2.5,100
,,,
650305,Dighton-Rehoboth - Dighton Middle School,1.9,100
,,,
650505,Dighton-Rehoboth - Dighton-Rehoboth Rhs,2.1,100
,,,
650310,Dighton-Rehoboth - Dorothy L Beckwith,3.3,100
,,,
650010,Dighton-Rehoboth - Palmer River,4.8,100
,,,
470505,Dorchester Collegiate Academy Charter (District) - Dorchester Collegiate Academy Charter,-,-
,,,
70003,Douglas - Douglas Early Childhood,10.2,100
,,,
70010,Douglas - Douglas Elementary,3.4,100
,,,
70505,Douglas - Douglas High School,1.9,100
,,,
70100,Douglas - Douglas Intermediate School,2.5,100
,,,
70005,Dover - Chickering,2.1,100
,,,
650505,Dover-Sherborn - Dover-Sherborn Reg High,2,100
,,,
650405,Dover-Sherborn - Dover-Sherborn Reg MS,2.2,100
,,,
70035,Dracut - Brookside Elementary,7.7,100
,,,
70505,Dracut - Dracut Senior High,4.2,100
,,,
70040,Dracut - George H. Englesby Intermediate,5.8,100
,,,
70030,Dracut - Greenmont Avenue,4.3,100
,,,
